1,20,3,16,45,0
2,20,4,14,85,0
3,20,5,12,119,1
4,20,5,11,147,3
5,20,5,10,172,5
6,20,5,9,194,8
7,20,5,8,213,11
8,20,5,7,229,15
9,20,5,6,242,19
10,20,5,5,253,23
11,20,5,5,260,28
12,20,5,5,267,33
13,20,5,5,274,38
14,20,5,5,281,43
15,20,5,5,288,48
16,20,5,5,295,53
17,20,5,5,302,58
18,20,5,5,308,64
19,20,5,5,314,70
20,20,5,5,320,76
21,20,5,5,326,82
22,20,5,5,332,88
23,20,5,5,338,94
24,20,5,5,344,100
25,20,5,5,350,106
26,20,5,5,355,113
27,20,5,5,360,120
28,20,5,5,365,127
29,20,5,5,370,134
30,20,5,5,375,141
31,20,5,5,380,148
32,20,5,5,385,155
33,20,5,5,390,161
34,20,5,5,395,167
35,20,5,5,400,173
36,20,5,5,404,180
37,20,5,5,408,187
38,20,5,5,412,194
39,20,5,5,416,201
40,20,5,5,420,208
41,20,5,5,424,215
42,20,5,5,428,222
43,20,5,5,432,229
44,20,5,5,436,236
45,20,5,5,440,243
46,20,5,5,444,250
47,20,5,5,448,257
48,20,5,5,452,264
49,20,5,5,455,272
50,20,5,5,458,280
51,20,5,5,461,288
52,20,5,5,464,296
53,20,5,5,467,304
54,21,6,5,470,311
55,22,6,5,473,318
56,23,6,5,476,325
57,24,6,5,479,332
58,25,7,5,482,339
59,26,7,5,485,346
60,27,7,5,488,353
61,28,7,5,491,360
62,29,7,5,494,367
63,30,8,5,497,374
64,31,8,5,500,381
65,32,8,5,502,389
66,33,8,5,504,397
67,34,9,5,506,405
68,35,9,5,508,413
69,36,9,5,510,421
70,37,10,5,512,429
71,38,10,5,514,437
72,39,10,5,516,445
73,40,10,5,518,453
74,41,11,5,520,460
75,42,11,5,522,467
76,43,11,5,524,474
77,44,11,5,526,481
78,45,12,5,528,488
79,46,12,5,530,495
80,47,12,5,532,502
81,48,12,5,534,509
82,49,12,5,536,516
83,50,13,5,538,523
84,51,13,5,540,530
85,52,13,5,542,537
86,53,13,5,544,544
87,54,14,5,546,551
88,55,14,5,548,558
89,56,14,5,550,565
90,57,14,5,551,573
91,58,15,5,552,581
92,59,15,6,553,589
93,60,16,6,557,597
94,61,16,7,561,605
95,63,17,7,567,612
96,65,18,8,573,619
97,67,19,9,582,626
98,69,20,10,593,633
99,71,21,11,607,640
100,73,22,12,622,648
101,75,23,13,640,656
102,77,24,14,660,664
103,79,25,15,682,673
104,81,26,16,706,682
105,83,27,17,732,692
106,85,28,18,760,702
107,87,29,19,790,713
108,89,30,20,822,724
109,91,31,21,856,736
110,93,32,22,891,749
111,95,33,23,929,762
112,97,34,24,968,775
113,99,35,25,1009,789
114,101,36,26,1051,804
115,103,37,27,1095,820
116,105,38,28,1141,836
117,107,39,29,1189,853
118,109,40,30,1238,871
119,111,41,31,1289,890
120,113,42,32,1341,910
121,116,44,33,1395,930
122,119,45,34,1450,951
123,122,47,35,1506,974
124,125,49,36,1563,998
125,128,51,37,1622,1023
126,131,53,38,1682,1049
127,134,54,39,1744,1076
128,137,56,40,1807,1103
129,140,58,41,1871,1132
130,143,60,42,1936,1162
131,146,62,43,2003,1193
132,149,64,44,2070,1226
133,153,66,46,2139,1259
134,157,68,48,2212,1293
135,161,70,50,2288,1329
136,165,72,52,2368,1366
137,169,74,54,2451,1404
138,173,76,56,2537,1444
139,177,78,58,2627,1485
140,181,80,60,2720,1528
141,185,83,62,2816,1572
142,189,86,64,2915,1618
143,193,89,66,3017,1666
144,197,92,68,3122,1715
145,201,95,70,3230,1766
146,205,98,72,3341,1819
147,210,101,74,3455,1873
148,215,104,76,3571,1930
149,220,107,78,3690,1989
150,225,110,80,3812,2049
151,230,113,83,3936,2112
152,236,117,86,4065,2176
153,242,121,89,4199,2243
154,248,125,92,4338,2312
155,254,129,95,4482,2383
156,260,133,98,4630,2457
157,267,137,101,4783,2533
158,274,141,104,4940,2612
159,281,146,107,5102,2693
160,288,151,110,5267,2778
161,296,156,114,5437,2865
162,304,161,118,5614,2954
163,312,166,122,5797,3047
164,321,171,126,5987,3142
165,330,176,130,6183,3241
166,339,182,134,6385,3343
167,349,187,138,6593,3448
168,359,192,142,6807,3557
169,369,197,147,7026,3670
170,379,203,152,7253,3786
171,389,209,157,7488,3906
172,400,215,162,7731,4029
173,411,222,167,7982,4157
174,422,229,172,8240,4289
175,434,236,177,8506,4425
176,446,243,182,8778,4566
177,459,251,187,9058,4711
178,472,259,192,9344,4861
179,486,267,197,9638,5015
