0.000000, 1.000000, 1.000000
0.050000, 1.055944, 1.054450
0.100000, 1.114982, 1.111833
0.150000, 1.177281, 1.172304
0.200000, 1.243018, 1.236025
0.250000, 1.312377, 1.303166
0.300000, 1.385551, 1.373906
0.350000, 1.462745, 1.448433
0.400000, 1.544172, 1.526943
0.450000, 1.630058, 1.609642
0.500000, 1.720636, 1.696748
0.550000, 1.816155, 1.788485
0.600000, 1.916874, 1.885093
0.650000, 2.023062, 1.986818
0.700000, 2.135005, 2.093922
0.750000, 2.253000, 2.206677
0.800000, 2.377358, 2.325366
0.850000, 2.508403, 2.450287
0.900000, 2.646476, 2.581750
0.950000, 2.791932, 2.720081
1.000000, 2.945141, 2.865616
1.050000, 3.106488, 3.018708
1.100000, 3.276376, 3.179725
1.150000, 3.455223, 3.349049
1.200000, 3.643466, 3.527078
1.250000, 3.841556, 3.714225
1.300000, 4.049963, 3.910920
1.350000, 4.269175, 4.117608
1.400000, 4.499695, 4.334751
1.450000, 4.742046, 4.562828
1.500000, 4.996767, 4.802333
1.550000, 5.264414, 5.053777
1.600000, 5.545561, 5.317687
1.650000, 5.840796, 5.594607
1.700000, 6.150726, 5.885096
1.750000, 6.475971, 6.189727
1.800000, 6.817165, 6.509090
1.850000, 7.174956, 6.843788
1.900000, 7.550004, 7.194436
1.950000, 7.942979, 7.561662
2.000000, 8.354559, 7.946105
2.050000, 8.785431, 8.348413
2.100000, 9.236285, 8.769243
2.150000, 9.707814, 9.209257
2.200000, 10.200709, 9.669120
2.250000, 10.715660, 10.149501
2.300000, 11.253350, 10.651067
2.350000, 11.814449, 11.174481
2.400000, 12.399616, 11.720399
2.450000, 13.009491, 12.289469
2.500000, 13.644690, 12.882323
2.550000, 14.305803, 13.499575
2.600000, 14.993387, 14.141821
2.650000, 15.707960, 14.809626
2.700000, 16.449999, 15.503527
2.750000, 17.219931, 16.224023
2.800000, 18.018127, 16.971574
2.850000, 18.844900, 17.746592
2.900000, 19.700493, 18.549436
2.950000, 20.585078, 19.380410
3.000000, 21.498748, 20.239753
3.050000, 22.441512, 21.127633
3.100000, 23.413288, 22.044145
3.150000, 24.413898, 22.989304
3.200000, 25.443065, 23.963036
3.250000, 26.500406, 24.965178
3.300000, 27.585429, 25.995470
3.350000, 28.697531, 27.053551
3.400000, 29.835996, 28.138954
3.450000, 30.999988, 29.251106
3.500000, 32.188559, 30.389322
3.550000, 33.400641, 31.552804
3.600000, 34.635054, 32.740639
3.650000, 35.890502, 33.951802
3.700000, 37.165582, 35.185152
3.750000, 38.458788, 36.439439
3.800000, 39.768511, 37.713300
3.850000, 41.093055, 39.005270
3.900000, 42.430637, 40.313784
3.950000, 43.779400, 41.637181
4.000000, 45.137421, 42.973716
4.050000, 46.502724, 44.321563
4.100000, 47.873288, 45.678829
4.150000, 49.247061, 47.043559
4.200000, 50.621972, 48.413752
4.250000, 51.995943, 49.787368
4.300000, 53.366901, 51.162343
4.350000, 54.732792, 52.536600
4.400000, 56.091593, 53.908061
4.450000, 57.441322, 55.274661
4.500000, 58.780050, 56.634359
4.550000, 60.105914, 57.985151
4.600000, 61.417124, 59.325081
4.650000, 62.711974, 60.652255
4.700000, 63.988848, 61.964846
4.750000, 65.246229, 63.261109
4.800000, 66.482702, 64.539388
4.850000, 67.696965, 65.798121
4.900000, 68.887823, 67.035852
4.950000, 70.054200, 68.251231
5.000000, 71.195134, 69.443022
5.050000, 72.309781, 70.610105
5.100000, 73.397412, 71.751478
5.150000, 74.457412, 72.866258
5.200000, 75.489281, 73.953682
5.250000, 76.492625, 75.013103
5.300000, 77.467157, 76.043993
5.350000, 78.412690, 77.045934
5.400000, 79.329133, 78.018618
5.450000, 80.216487, 78.961845
5.500000, 81.074836, 79.875511
5.550000, 81.904344, 80.759611
5.600000, 82.705251, 81.614226
5.650000, 83.477860, 82.439523
5.700000, 84.222539, 83.235746
5.750000, 84.939709, 84.003208
5.800000, 85.629842, 84.742288
5.850000, 86.293453, 85.453423
5.900000, 86.931096, 86.137103
5.950000, 87.543357, 86.793864
6.000000, 88.130851, 87.424280
6.050000, 88.694215, 88.028963
6.100000, 89.234106, 88.608552
6.150000, 89.751194, 89.163711
6.200000, 90.246161, 89.695123
6.250000, 90.719696, 90.203486
6.300000, 91.172489, 90.689510
6.350000, 91.605235, 91.153910
6.400000, 92.018624, 91.597406
6.450000, 92.413342, 92.020716
6.500000, 92.790068, 92.424559
6.550000, 93.149475, 92.809645
6.600000, 93.492222, 93.176679
6.650000, 93.818958, 93.526355
6.700000, 94.130320, 93.859356
6.750000, 94.426930, 94.176352
6.800000, 94.709393, 94.478000
6.850000, 94.978301, 94.764939
6.900000, 95.234229, 95.037794
6.950000, 95.477735, 95.297173
7.000000, 95.709360, 95.543664
7.050000, 95.929627, 95.777840
7.100000, 96.139042, 96.000254
7.150000, 96.338094, 96.211441
7.200000, 96.527255, 96.411918
7.250000, 96.706979, 96.602181
7.300000, 96.877702, 96.782712
7.350000, 97.039845, 96.953969
7.400000, 97.193812, 97.116398
7.450000, 97.339990, 97.270423
7.500000, 97.478751, 97.416452
7.550000, 97.610452, 97.554876
7.600000, 97.735432, 97.686069
7.650000, 97.854019, 97.810391
7.700000, 97.966526, 97.928182
7.750000, 98.073250, 98.039771
7.800000, 98.174478, 98.145471
7.850000, 98.270481, 98.245578
7.900000, 98.361519, 98.340378
7.950000, 98.447841, 98.430143
8.000000, 98.529683, 98.515129
8.050000, 98.607271, 98.595585
8.100000, 98.680820, 98.671743
8.150000, 98.750534, 98.743827
